1	C. van Amerongen (translator)
2	Judith Kerr
3	Stephen Fry
4	Helen Forrester
5	T.S. Eliot
6	Muriel Spark
7	Gerald Seymour
8	Jeffrey Archer
9	Robert Louis Stevenson
10	Aldous Huxley
11	Ellis Peters
12	Bill Bryson
13	Barns &amp; Budd
14	Elizabeth Buchan
15	Michael Dibdin
16	J. R. R. Tolkien
17	Shani Mootoo
18	William T. McLeod
19	Michael Bond
20	Mandy Stanley
21	Sue Dreamer
22	Nick Butterworth
23	Fiona Pragoff
24	Huck Scarry
25	Carolyn Keene
26	Bennett Cerf
27	Stan Berenstein
28	Marilyn Sadler
29	Mark Brown
30	Robert Lopshire
31	Seuss
32	Diane Wilmer
33	Jill Barklem
34	Robert Leeson
35	Alan Garner
36	John Verney
37	Noel Streatfeild
38	Tony Drake
39	Andrew Taylor
40	Gareth Owen
41	Ellen Miller
42	Jean Ure
43	Ian Whybrow
44	Harriet Hains
45	Jonathan Langley
46	Alison Uttley
47	Maureen Spurgeon
48	Hilda Boswell
49	P. L Travers
50	Nanette Newman
51	David Lambert
52	Pierre Averous
53	Mark Haddon
54	Lawrence Hill
55	James King
56	Maude Barlow
57	Kenneth McGoogan
58	Richard Bruce Wright
59	Barbara Gowdy
60	Frances Itani
61	Kathleen Tessaro
62	Lewis Desoto
63	Kenneth Radu
64	David Cruise
65	Archibald Lyall
66	Jane Goodall
67	C. V. Wedgwood
68	Desmond Doig
69	Lyn Hancock
70	Peter Townsend
71	Sheila Cassidy
72	Ernest G Neal
73	Stephen Potter
74	Jung Chang
75	C.S. Lewis
76	L. A. Morse
77	Fynn
78	Judith Rapoport MD
79	C. S. Lewis
80	Mikhail Sergeevich Gorbachev
81	Timothy Findley
82	Roseanne Barr
83	Philip Ziegler
84	Merrily Weisbord
85	Nuala Beck
86	Sandra Gwyn
87	Jeffrey Simpson
88	Martin Gilbert
89	Rory MacLean
90	Simon Schama
91	Margaret Cannon
92	Tom Harrisson
93	Roger Lancelyn Green
94	W L Webb
95	Mark Owens
96	Geoffrey Wansell
97	Frédérick Leboyer
98	Simon Welfare
99	Ian Wooldridge
100	Pamela Street
101	John Fairley
102	John Wilson Murray
103	Gerald Malcolm Durrell
104	Merren Parker
105	Arthur Irwin
106	Bonnie Stern
107	Robert Hughes
108	Rosie Swale
109	Louis Mountbatten Mountbatten of Burma
110	Penina Spiegel
111	Eva Innes
112	Lew Grade
113	David Cohen
114	Rick Smolan
115	Brian Wilks
116	Nigel Mansell
117	Ian Wright
118	Ian Botham
119	Nigel Webb
120	David Attenborough
121	John G. Williams
122	Richard Bell
123	Richard Sidney Richmond Fitter
124	L. Svensson
125	Roger Tory Peterson
126	Ian Ridpath
127	Peter Hayward
128	Oliver Gilbert
129	Trevor Beebee
130	John D. Altringham
131	Michael E. N. Majerus
132	John Mitchell
133	Ann Maurice
134	Helen Macinnes
135	Geoffrey Jenkins
136	Alistair MacLean
137	Winston Graham
138	John Morris
139	Rona Randall
140	Graham Shelby
141	Rosamond Lehmann
142	Jack Higgins
143	Jonathan Wade
144	Jon Cleary
145	Thomas Armstrong
146	Howard Spring
147	Pierre La Mure
148	Victoria Holt
149	Desmond Bagley
150	Penelope Fitzgerald
151	Sheila Ross
152	Simone de Beauvoir
153	Antony Melville-Ross
154	Antony Trew
155	John Bruce
156	Margaret Craven
157	Jack Higgns
158	Morris L West
159	Michael Brown
160	Jack Higgings
161	James Leasor
162	Pamela Haines
163	Duncan Kyle
164	Stephen R Donaldson
165	Gerald Durrell
166	Eric Wilson
167	George Jonas
168	Ian St James
169	Aileen Armitage
170	Anna Murdoch
171	Der Nister
172	Fay Weldon
173	Tom Henighan
174	Bryan Forbes
175	Michael Dobbs
176	Valerie Blumenthal
177	W.P. Kinsella
178	Alistair MacNeill
179	Woodrow Wyatt
180	W. P Kinsella
181	Brian Callison
182	Thomas King
183	Anne Cameron
184	J. G Ballard
185	Clive Barker
186	Tony Hillerman
187	Joseph O'Connor
188	Diane Schoemperlen
189	Marilyn Bowering
190	Sharon Butala
191	Douglas Coupland
192	Richard B Wright
193	Len Deighton
194	Elisabeth Harvor
195	Dakota Hamilton
196	Bernard Cornwell
